# name	paths separated by semicolons	expected true gates in classifier order
leaf-go	internal/suggest/score.go	contracts,go,postgres,image
releaseverify-production	internal/releaseverify/ci_container_downloads.go	go,policy
releaseverify-red-tests	internal/releaseverify/ci_container_downloads_test.go	go,policy
releaseverify-policy-fixtures	internal/releaseverify/testdata/make_policy_normalization.mk;internal/releaseverify/testdata/make_policy_normalization.golden	go,policy
store-go	internal/store/store.go	contracts,go,postgres,image
postgres-test-image-authority	internal/testkit/postgresimage/image.txt	contracts,go,go_full,postgres,image,policy
postgres-test-image-owner	internal/testkit/postgresimage/image.go	contracts,go,go_full,postgres,image,policy
ryuk-test-image-authority	internal/testkit/ryukimage/image.txt	postgres,policy
composition-go	internal/app/application.go	contracts,go,go_full,postgres,image
backend-transition-go	internal/backendtransition/controller.go	contracts,go,postgres,image
playout-go	internal/playout/session.go	contracts,go,postgres,image
rust-worker	rust/loomarr-image/src/lib.rs	rust,image
migration	internal/store/migrations/sqlite/00001_init.sql	contracts,go,go_full,postgres,image
generic-web	web/apps/web/src/diagnostics/client-reporter/client-reporter.ts	web,visual,tuner,image
web-unit-test	web/apps/web/src/channels/channel-health/channel-health.test.ts	web,image
web-unit-test-tsx	web/apps/web/src/diagnostics/application-diagnostics/application-diagnostics.test.tsx	web,image
web-story-only	web/apps/web/src/design/typography/typography.stories.tsx	web,visual,image
web-runtime-tokens	web/packages/tokens/src/tokens/tokens.ts	web,visual,tuner,image
mobile-client	web/apps/mobile/app/index.tsx	clients,apple_mobile,expo_android_mobile
tv-client	web/apps/tv/src/app.tsx	clients,apple_tv,expo_android_tv,android
android-lan-discovery-native	web/packages/lan-discovery-native/index.ts	clients,apple_tv,expo_android_tv,android
shared-client-ui	web/packages/ui/src/client-platform-proof/client-platform-proof.tsx	clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,android
shared-client-ui-tv	web/packages/ui-tv/src/watching-navigation/watching-navigation.ts	clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,android
shared-client-api	web/packages/api/src/unwrap/unwrap.ts	web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,e2e,tuner,image,android
shared-client-core	web/packages/core/src/guide/guide.ts	web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,e2e,tuner,image,android
shared-client-fixtures	web/packages/fixtures/src/index.ts	web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,e2e,tuner,image,android
shared-player-browser	web/packages/player/src/browser/browser.ts	web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,tuner,image,android
shared-player-native	web/packages/player/src/native/native.tsx	web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,tuner,image,android
client-tooling	web/turbo.json	clients
client-browser-proof	web/apps/web/src/client-platform-proof/client-platform-proof.tsx	clients
apple-client-script	web/scripts/test-apple-client.sh	contracts,apple_mobile,apple_tv
apple-client-xcconfig	web/scripts/apple-simulator.xcconfig	contracts,apple_mobile,apple_tv
apple-compilation-cache-cli	scripts/apple-compilation-cache.sh;scripts/apple-compilation-cache-test.sh	contracts,apple_mobile,apple_tv,policy
apple-compilation-cache-verifier	web/scripts/test-apple-client-cache-test.sh;web/scripts/apple-compilation-cache.xcconfig;web/scripts/validate-apple-compilation-cache.sh;web/scripts/validate-apple-compilation-cache-test.sh	contracts,apple_mobile,apple_tv
expo-android-script	web/scripts/build-android-client.sh	contracts,expo_android_mobile,expo_android_tv,android
visual-web	web/apps/web/src/people/users-page/users-page.tsx	web,visual,tuner,image
visual-baseline	web/apps/web/tests/visual/gallery.spec.ts-snapshots/ai-approvalhistoryrow--approved-desktop-linux.png	web,visual,image
e2e-baseline	web/apps/web/tests/e2e/wizard.spec.ts-snapshots/step-1-bootstrap-desktop-linux.png	web,e2e,image
wizard-e2e	web/apps/web/src/wizard/steps/steps.ts	web,visual,e2e,tuner,image
tuner-web	web/apps/web/src/channels/use-hls-player/use-hls-player.ts	web,visual,tuner,image
web-build-config	web/apps/web/vite.config.ts	web,visual,e2e,tuner,image
web-tooling	web/apps/web/package.json	web,visual,e2e,tuner,image
workspace-tooling	web/package.json	web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,e2e,tuner,image,android
openapi	api/openapi.yaml	contracts,go,go_full,web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,e2e,tuner,image,android
android-listing	store-listing/android-tv/en-US/short-description.txt	android
android-impact-authority	scripts/ci-impact.sh	android,policy
android-source-validator	scripts/validate-android-release-source.sh	android,policy
android-artifact-downloader	scripts/download-android-ci-artifact.sh	android,policy
android-artifact-signer	scripts/sign-android-ci-artifact.sh	android,policy
android-emulator-acceptance	scripts/test-android-release-emulator.sh	android
release-image	Dockerfile	contracts,image
observability-bundle	observability/metrics-manifest.txt	contracts
documentation	docs/dev/testing.md	docs
design-contract	docs/design.md	docs,policy
configuration-contract	docs/configuration.md	docs,policy
commands-contract	docs/dev/commands.md	docs,policy
ci-policy-authority	docs/dev/ci.md	docs,policy
renovate-policy	renovate.json	contracts,policy
install-contract	docs/install/docker.md	docs,policy
readme-contract	README.md	docs,policy
embedded-help	docs/help/quickstart.md	contracts,go,go_full,image,docs
agent-script	scripts/agent.sh	agent,policy
release-workflow	.github/workflows/release.yml	policy
ci-workflow	.github/workflows/ci.yml	policy
ci-agent-workflow	.github/workflows/ci-agent.yml	agent,policy
ci-go-workflow	.github/workflows/ci-go.yml	go,policy
ci-rust-workflow	.github/workflows/ci-rust-contracts.yml	rust,policy
ci-rust-certification-workflow	.github/workflows/ci-image-certification.yml	rust,policy
ci-go-contracts-workflow	.github/workflows/ci-go-contracts.yml	contracts,policy
ci-postgres-workflow	.github/workflows/ci-postgres.yml	postgres,policy
ci-frontend-workflow	.github/workflows/ci-frontend.yml	web,policy
ci-clients-workflow	.github/workflows/ci-clients.yml	clients,policy
ci-apple-mobile-workflow	.github/workflows/ci-apple-mobile.yml	apple_mobile,policy
ci-apple-tv-workflow	.github/workflows/ci-apple-tv.yml	apple_tv,policy
ci-apple-cache-validation-workflow	.github/workflows/ci-apple-cache-validation.yml	apple_mobile,apple_tv,policy
apple-compilation-cache-publisher	.github/workflows/apple-compilation-cache.yml	apple_mobile,apple_tv,policy
ci-playwright-workflow	.github/workflows/ci-playwright.yml	visual,e2e,policy
ci-tuner-workflow	.github/workflows/ci-tuner.yml	tuner,policy
ci-image-workflow	.github/workflows/ci-image.yml	image,policy
ci-docs-workflow	.github/workflows/ci-docs.yml	docs,policy
ci-android-workflow	.github/workflows/ci-android.yml	android,policy
